post_id,data_index,title,comment,timestamp
102245622,2,,배당락 끝나고 튀려나?,2025-03-14T18:24:34+09:00
102243550,3,6만 언제가누,기다리다 죽겠다,2025-03-14T18:09:28+09:00
102240920,4,주차장 입장,맨날 주차해 ㅋㅋ 이것도 능력이다,2025-03-14T17:51:16+09:00
102240530,5,‘오징어게임’에 비유된 서학개미의 투자 : 여러 의미를 생각하게 하다.,"얼마 전 미국의 자산운용사 아카디안(Acadian)의 라몬트 수석 부사장은 “오징어 게임, 주식시장”이라는 칼럼을 통해 미국 주식시장에서 나타나는 이상 현상의 중요한 원인으로 한국 개미투자자(서학개미)를 언급하였습니다. 여러 국내 경제 매체에서 요약된 내용이 아닌 라몬트 부사장의 칼럼 원문을 읽다가 여러 가지 생각이 머릿속에 스치더군요. ‘다이나믹 코리아….’
📊📉🤔🪄증시토크 칼럼 바로보기 :

※ 본 자료는 투자자들에게 도움이 될만한 정보를 제공할 목적으로 작성되었으며, 무단복제 및 배포할 수 없습니다. 주식투자는 손실이 발생할 수 있으며 투자의 책임은 투자자 본인에게 있습니다. 또한 수치 및 내용의 정확성이나 안전성을 보장할 수 없으며, 어떠한 경우에도 고객의 증권투자 결과에 대한 법적 책임 소재의 증빙자료로 사용될 수 없습니다.",2025-03-14T17:48:51+09:00
102230270,6,좋은일 있으리라,"좋은 일 있으리라
크게 있으리라
많이 있으리라",2025-03-14T16:36:10+09:00
102230092,7,떨어지면,다시 돌아오겠습니다,2025-03-14T16:33:51+09:00
102229880,8,,ㅋㅋ진짜 보법부터 다르네 재용이형 한반더 들어가야겠는데,2025-03-14T16:31:00+09:00
102229746,9,,돌고돌아 제자리 숭어도 아니고 나원 참!,2025-03-14T16:29:04+09:00
102229606,10,,토스 이자보다 안오르는 주식 몇일째냐,2025-03-14T16:26:42+09:00
102228892,11,얘는 이제 하닉 오른거에 절반도 못오르네,5만원 깨지면 매수하러와야지,2025-03-14T16:17:02+09:00
102227894,12,,"이번주 내내 하는 꼬라지하군.
이게 뭔 대장주? 꼬붕이지",2025-03-14T16:04:28+09:00
102227786,13,날씨,오늘 날씨가 좋네요,2025-03-14T16:03:13+09:00
102227276,14,흠.. 재미없네,첨 사봤는데 미장보다 재미없구먼,2025-03-14T15:57:02+09:00
102227274,15,,제자리걸음 기가막히게 요새 잘하네,2025-03-14T15:57:01+09:00
102226982,16,,파킹통장ㅋㅋㅋㅋㅋㅋㅋㅋ,2025-03-14T15:53:20+09:00
102226862,17,,"안전자산 굿











굿이겠냐?",2025-03-14T15:51:39+09:00
102226524,18,,와우 이런것도 기록인가,2025-03-14T15:46:40+09:00
102226352,19,,심심하면 휴장이네 ㅋㅋ,2025-03-14T15:44:46+09:00
102226264,20,,0원에 주차하는 미션걸림??????😭😭,2025-03-14T15:43:41+09:00
102226162,21,이집 운전 잘하네,멀쩡히 가다가 갑자기 확 드리프트 해버리는 솜씨가 예사롭지 않음,2025-03-14T15:42:32+09:00
102225880,22,,장애인구역에 주차하고 jㄹ이네,2025-03-14T15:38:43+09:00
102225798,23,,나같으면 57 58 되면 손해 조금 보더라도 빼겠다,2025-03-14T15:37:34+09:00
102225736,24,,금욜 마감 좋네 ㅋㅋㅋㅋㅋㅋ 깔끔 ㅋㅋㅋ ㅠ,2025-03-14T15:36:48+09:00
102225728,25,,토스뱅크 이자 받는게 더 많을거 같으면 개추ㅋㅋ,2025-03-14T15:36:44+09:00
102225724,26,,재용이형 한번 더 들어가야 오르려나,2025-03-14T15:36:42+09:00
102225632,27,,대박 ㅋㅋㅋ,2025-03-14T15:35:35+09:00
102225616,28,,기가막히게 보합마무리,2025-03-14T15:35:29+09:00
102225608,29,,은행이여 ㅋㅋㅋㅋㅋ 맨날 같에 ㅋㅋㅋㅋㅋㅋ,2025-03-14T15:35:23+09:00
102225528,30,,둘중 더 가능성 높은것은?,2025-03-14T15:34:35+09:00
102225474,31,,이야 대단하다,2025-03-14T15:34:06+09:00
102225366,32,,오늘도 내일도 휴장이니?,2025-03-14T15:32:41+09:00
102225274,33,,안되것어,2025-03-14T15:31:46+09:00
102225218,34,,오늘 휴장,2025-03-14T15:31:10+09:00
102225166,35,,와 오늘도 주차실력 ㅋㅋ,2025-03-14T15:30:46+09:00
102225138,36,,와 레전드 ㅋㄲ,2025-03-14T15:30:27+09:00
102225134,37,,역시 동시호가ㅋㅋㅋ,2025-03-14T15:30:26+09:00
102224778,38,,양전이라도 해서 다행이다,2025-03-14T15:26:53+09:00
102224214,39,,더 살라고했는데 0.1프로 올랐다 ㅋㅋ,2025-03-14T15:21:36+09:00
102224160,40,주차가 불안..,다시 나갑니다..,2025-03-14T15:21:12+09:00
102224038,41,,동시호가서 튈수더있음,2025-03-14T15:20:12+09:00
102223958,42,,외인들 어ㅣㄹ어질하다,2025-03-14T15:19:25+09:00
102223594,43,다음주,상승이다,2025-03-14T15:16:08+09:00
102223374,44,털어먹을것도 없는데,공매 뭐이리 많이들어왔냐 큐ㅠㅠㅠㅠㅠ,2025-03-14T15:14:21+09:00
102223364,45,,오실로스코프,2025-03-14T15:14:18+09:00
102223088,46,,퀄통과 관련은 언제쯤 뜰까요?,2025-03-14T15:12:04+09:00
102223086,47,,"•애플, 테슬라, 엔비디아... - 지가 만들어서 키운 회사
•삼성전자 - 그냥 물려받은 회사",2025-03-14T15:12:04+09:00
102222360,48,,"안녕히계세요 여러분~
님들 미장 가라고 할때 국장에서 빨아먹고
아무도 미장하라 안할 때 미장으로 떠납니다~
여러분 모두 행복하세요~",2025-03-14T15:06:21+09:00
102222318,49,,이거 꼬라지보니까 ㅋㅋㅋ 자사주 매입 안했으면 4만원 초반도 갔겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-03-14T15:06:06+09:00
102222032,50,,삼전 오늘,2025-03-14T15:03:28+09:00
102221952,51,세계는 지금,"1. 캐나다 신임 종리, 프랑스•영국 순방 계획.

- 영국•프랑스 로스차일드와 협력하여 트럼프•머스크 세력과 맞서기 위한 것. 경기침체 장기화 될수도...

2. G7 장관회의 참석한 미 국무장관 루비오, 캐나다가 초미니 레드카펫으로 물맥여...

- 캐나다가 한가닥 하나요???

3. 트럼프가, 바이낸스 지분 확보 논의

- 트럼프미디어나 살려내, 다 죽게 생겼어!

4. 셧다운은 피할듯, 미상원 지도부 트럼프에 협력하기로

- 오늘이늬~~~??",2025-03-14T15:02:48+09:00
102221002,52,얘는 뭐 박음질 하고있는거임?,죤내 꼼꼼하게도 꼬매네,2025-03-14T14:55:05+09:00
102220402,53,,단타맛집 #,2025-03-14T14:50:45+09:00
102220272,54,,삼성은 반도체 회사 아닌가? 🤔🤔,2025-03-14T14:49:44+09:00
102219970,55,추매,5주에서 4주더 ㅜ,2025-03-14T14:47:26+09:00
102268346,2,,트럼프가 이긴건가,2025-03-14T20:48:59+09:00
102267884,3,다음주? 그냥기다리세요,삼전은 지금 모든게 주가가 오른다라고 시그널보내고있습니다 기술적분석 세계정세 반도체시세 추세가 보여주고있습니다 현재 삼전의 주가상태는 바닥이죠 일희일비하지말고 지켜봅시다 삼전으로 단타치러오신거아니면 거시적으로보고 장기적으로 보고가셔야죠 누가 삼전으로 단타친다고하면 지나가던 테슬라주주가 비웃고갑니다,2025-03-14T20:46:11+09:00
102267206,4,,나중에 다시 올께요~,2025-03-14T20:41:41+09:00
102219276,59,56800원 2400주,6만 간다던 색희 잡히면 뒈질줄 알어라,2025-03-14T14:42:17+09:00
102219166,60,삼정,도대체 너의 정체는 무엇이냐??,2025-03-14T14:41:18+09:00
